model,val_roc_auc,val_pr_auc,val_f1,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall,test_accuracy
LogisticRegression,0.7973269080858904,0.7138581160120057,0.7185314685314685,0.8070758620029941,0.7210397637228454,0.7433050293925539,0.6741706161137441,0.8282387190684134,0.754375
RandomForest,0.7846573595067677,0.6677318777213277,0.7114695340501792,0.7902694541564432,0.6904473120694182,0.7294751009421265,0.6783479349186483,0.7889374090247453,0.74875
LightGBM,0.7805938629438027,0.6811125726637988,0.6795580110497238,0.7802707455466964,0.6720286899735364,0.6931106471816284,0.664,0.7248908296943232,0.724375
XGBoost,0.7628658493373963,0.6674450610289469,0.6616961789375583,0.7795501178991473,0.6802042317884177,0.6841359773371105,0.6662068965517242,0.7030567685589519,0.72125
